suspicious_node,manual_label,info,operation,relevant_node,relevant_type,relevant_info
643265,0,File{'path': '/usr/lib/thunderbird/thunderbird.sh'},EVENT_OPEN,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643265,0,File{'path': '/usr/lib/thunderbird/thunderbird.sh'},EVENT_EXECUTE,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643265,0,File{'path': '/usr/lib/thunderbird/thunderbird.sh'},EVENT_OPEN,228134,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643265,0,File{'path': '/usr/lib/thunderbird/thunderbird.sh'},EVENT_EXECUTE,228134,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643265,0,File{'path': '/usr/lib/thunderbird/thunderbird.sh'},EVENT_READ,228134,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643265,0,File{'path': '/usr/lib/thunderbird/thunderbird.sh'},EVENT_READ,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
228135,0,"Subject{'path': '/bin/dash', 'cmd': '/bin/sh /usr/bin/thunderbird'}",EVENT_OPEN,642631,unknown,File{'path': '/lib/x86_64-linux-gnu/libc-2.15.so'}
228135,0,"Subject{'path': '/bin/dash', 'cmd': '/bin/sh /usr/bin/thunderbird'}",EVENT_OPEN,643266,unknown,File{'path': '/bin/which'}
228135,0,"Subject{'path': '/bin/dash', 'cmd': '/bin/sh /usr/bin/thunderbird'}",EVENT_EXECUTE,643266,unknown,File{'path': '/bin/which'}
228135,0,"Subject{'path': '/bin/dash', 'cmd': '/bin/sh /usr/bin/thunderbird'}",EVENT_READ,642631,unknown,File{'path': '/lib/x86_64-linux-gnu/libc-2.15.so'}
228135,0,"Subject{'path': '/bin/dash', 'cmd': '/bin/sh /usr/bin/thunderbird'}",EVENT_READ,643266,unknown,File{'path': '/bin/which'}
228135,0,"Subject{'path': '/bin/dash', 'cmd': '/bin/sh /usr/bin/thunderbird'}",EVENT_CLONE,228134,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
228135,0,"Subject{'path': '/bin/dash', 'cmd': '/bin/sh /usr/bin/thunderbird'}",EVENT_OPEN,642629,unknown,File{'path': '/etc/ld.so.cache'}
643267,0,File{'path': '/usr/lib/thunderbird/thunderbird'},EVENT_EXECUTE,228134,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643267,0,File{'path': '/usr/lib/thunderbird/thunderbird'},EVENT_EXECUTE,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643271,0,File{'path': '/usr/lib/thunderbird/dependentlibs.list'},EVENT_READ,228134,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643271,0,File{'path': '/usr/lib/thunderbird/dependentlibs.list'},EVENT_OPEN,228134,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643271,0,File{'path': '/usr/lib/thunderbird/dependentlibs.list'},EVENT_READ,228134,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643271,0,File{'path': '/usr/lib/thunderbird/dependentlibs.list'},EVENT_OPEN,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643271,0,File{'path': '/usr/lib/thunderbird/dependentlibs.list'},EVENT_READ,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643271,0,File{'path': '/usr/lib/thunderbird/dependentlibs.list'},EVENT_READ,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643272,0,File{'path': '/usr/lib/thunderbird/libldap60.so'},EVENT_OPEN,228134,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643272,0,File{'path': '/usr/lib/thunderbird/libldap60.so'},EVENT_OPEN,228134,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643272,0,File{'path': '/usr/lib/thunderbird/libldap60.so'},EVENT_OPEN,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643272,0,File{'path': '/usr/lib/thunderbird/libldap60.so'},EVENT_OPEN,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643272,0,File{'path': '/usr/lib/thunderbird/libldap60.so'},EVENT_READ,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643272,0,File{'path': '/usr/lib/thunderbird/libldap60.so'},EVENT_READ,228134,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643272,0,File{'path': '/usr/lib/thunderbird/libldap60.so'},EVENT_READ,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643272,0,File{'path': '/usr/lib/thunderbird/libldap60.so'},EVENT_READ,228134,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643273,0,File{'path': '/usr/lib/thunderbird/libnspr4.so'},EVENT_OPEN,228134,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643273,0,File{'path': '/usr/lib/thunderbird/libnspr4.so'},EVENT_OPEN,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643273,0,File{'path': '/usr/lib/thunderbird/libnspr4.so'},EVENT_READ,228134,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643273,0,File{'path': '/usr/lib/thunderbird/libnspr4.so'},EVENT_READ,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643273,0,File{'path': '/usr/lib/thunderbird/libnspr4.so'},EVENT_READ,228134,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643273,0,File{'path': '/usr/lib/thunderbird/libnspr4.so'},EVENT_OPEN,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643273,0,File{'path': '/usr/lib/thunderbird/libnspr4.so'},EVENT_READ,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643273,0,File{'path': '/usr/lib/thunderbird/libnspr4.so'},EVENT_OPEN,228134,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643274,0,File{'path': '/usr/lib/thunderbird/libprldap60.so'},EVENT_READ,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643274,0,File{'path': '/usr/lib/thunderbird/libprldap60.so'},EVENT_OPEN,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643274,0,File{'path': '/usr/lib/thunderbird/libprldap60.so'},EVENT_OPEN,228134,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
643274,0,File{'path': '/usr/lib/thunderbird/libprldap60.so'},EVENT_OPEN,228692,unknown,"Subject{'path': '/usr/bin/fluxbox', 'cmd': 'fluxbox'}"
