Dataset              Embed Method              Encoder Method                 Decoder Method                 ADP Score  AP        
==================================================================================================================================
CADETS_E3            hierarchical_hashing      tgn-graph_attention            predict_edge_type              1.0000     0.3127    
CADETS_E3            hierarchical_hashing      graph_attention                reconstruct_node_features      0.9580     0.0600    
CADETS_E3            hierarchical_hashing      tgn-graph_attention            predict_edge_type              0.9440     0.3081    
CADETS_E3            hierarchical_hashing      graph_attention                reconstruct_node_features      0.9170     0.0425    
CADETS_E3            feature_word2vec          tgn-graph_attention            predict_node_type              0.8890     0.0499    
CADETS_E3            hierarchical_hashing      tgn-graph_attention            predict_node_type              0.8330     0.1126    
CADETS_E3            hierarchical_hashing      tgn-graph_attention            reconstruct_node_features      0.7990     0.0428    
CADETS_E3            hierarchical_hashing      tgn-graph_attention            predict_node_type              0.7860     0.1265    
CADETS_E3            feature_word2vec          tgn-graph_attention            predict_edge_type              0.7560     0.2515    
CADETS_E3            hierarchical_hashing      sage                           reconstruct_node_features      0.7120     0.0381    
CADETS_E3            hierarchical_hashing      graph_attention                reconstruct_node_features      0.7110     0.0496    
CADETS_E3            hierarchical_hashing      sage                           reconstruct_node_features      0.7080     0.0361    
CADETS_E3            hierarchical_hashing      graph_attention                reconstruct_node_features      0.7070     0.0418    
CADETS_E3            fasttext                  tgn-graph_attention            reconstruct_node_features      0.6950     0.0478    
CADETS_E3            fasttext                  graph_attention                predict_node_type              0.6790     0.0201    
CADETS_E3            fasttext                  sum_aggregation                predict_node_type              0.6760     0.0364    
CADETS_E3            hierarchical_hashing      tgn-graph_attention            reconstruct_node_features      0.6760     0.0343    
CADETS_E3            fasttext                  tgn-graph_attention            reconstruct_node_features      0.6720     0.0460    
CADETS_E3            hierarchical_hashing      tgn-graph_attention            reconstruct_node_features      0.6710     0.0376    
CADETS_E3            hierarchical_hashing      graph_attention                reconstruct_node_features      0.6710     0.0316    

CADETS_E5            hierarchical_hashing      sum_aggregation                reconstruct_node_features      0.6000     0.0138    
CADETS_E5            only_type                 graph_attention                reconstruct_node_features      0.5100     0.0115    
CADETS_E5            hierarchical_hashing      graph_attention                reconstruct_node_features      0.1750     0.0051    
CADETS_E5            only_type                 sum_aggregation                reconstruct_node_features      0.0290     0.0037    
CADETS_E5            only_type                 graph_attention                reconstruct_node_features      0.0260     0.0030    
CADETS_E5            feature_word2vec          graph_attention                reconstruct_node_features      0.0240     0.0081    
CADETS_E5            feature_word2vec          graph_attention                reconstruct_node_features      0.0240     0.0078    
CADETS_E5            hierarchical_hashing      graph_attention                reconstruct_node_features      0.0040     0.0022    
CADETS_E5            feature_word2vec          sum_aggregation                reconstruct_node_features      0.0040     0.0008    
CADETS_E5            fasttext                  graph_attention                reconstruct_node_features      0.0030     0.0002    
CADETS_E5            fasttext                  graph_attention                reconstruct_node_features      0.0020     0.0001    
CADETS_E5            fasttext                  sum_aggregation                reconstruct_node_features      0.0010     0.0001    

CLEARSCOPE_E3        hierarchical_hashing      sum_aggregation                predict_edge_type              0.3330     0.0090    
CLEARSCOPE_E3        fasttext                  graph_attention                reconstruct_node_features      0.2500     0.0076    
